,Close,Market_daily_ret,Strat_daily_ret,Strat_position_EOD,Long_only,Costs,Market_cum_ret,Strat_cum_ret
2004-05-25,1113.050048828125,0.01610357226793835,0.01610357226793835,1,0,0.0,4189.123303019642,24253.996881592157
2004-05-26,1114.93994140625,0.0016979403398029724,0.0016979403398029724,1,0,0.0,4196.236184464247,24295.178721298864
2004-05-27,1121.280029296875,0.005686483778335472,0.005686483778335472,1,0,0.0,4220.098013457267,24433.332860989292
2004-05-28,1120.6800537109375,-0.0005350809523592126,-0.0005350809523592126,1,0,0.0,4217.839919393177,24420.259049972727
2004-06-01,1121.199951171875,0.00046391247815646963,0.00046391247815646963,1,0,0.0,4219.796627962651,24431.58791286582
2004-06-02,1124.989990234375,0.0033803418012448017,0.0033803418012448017,1,0,0.0,4234.0609828969045,24514.175030758466
2004-06-03,1116.6400146484375,-0.0074222665609654515,-0.0074222665609654515,1,0,0.0,4202.63465364646,24332.22428915801
2004-06-04,1122.5,0.005247873329532693,0.005247873329532693,1,0,0.0,4224.689547959101,24459.91672005329
2004-06-07,1140.4200439453125,0.015964404405623522,0.015964404405623522,1,0,0.0,4292.134200390931,24850.404722300096
2004-06-08,1142.1800537109375,0.0015432995719157905,0.0015432995719157905,1,0,0.0,4298.758249264999,24888.756341269956
2004-06-09,1131.3299560546875,-0.00949946343485697,-0.00949946343485697,1,0,0.0,4257.922352460817,24652.326510467
2004-06-10,1136.469970703125,0.004543338237380734,0.004543338237380734,1,0,0.0,4277.26753389655,24764.330368142397
2004-06-14,1125.2900390625,-0.009837419314923102,-0.009837419314923102,1,0,0.0,4235.190259643503,24520.713266257695
2004-06-15,1132.010009765625,0.005971767695307717,0.005971767695307717,1,0,0.0,4260.481832019524,24667.145269607037
2004-06-16,1133.56005859375,0.0013692889769110206,0.0013692889769110206,1,0,0.0,4266.315662828438,24700.92171971657
2004-06-17,1132.050048828125,-0.0013320950700206335,-0.0013320950700206335,1,0,0.0,4260.632524766832,24668.017743668774
2004-06-18,1135.02001953125,0.002623533037430237,0.002623533037430237,1,0,0.0,4271.810434955908,24732.735103187206
2004-06-21,1130.300048828125,-0.004158491147208343,-0.004158491147208343,1,0,0.0,4254.0461490795915,24629.88424321435
2004-06-22,1134.4100341796875,0.003636189661164524,0.003636189661164524,1,0,0.0,4269.514667704992,24719.443173655207
2004-06-23,1144.06005859375,0.008506645854063244,0.008506645854063244,1,0,0.0,4305.833916951886,24929.722722443134
2004-06-24,1140.6500244140625,-0.0029806426280444276,-0.0029806426280444276,1,0,0.0,4292.999764829739,24855.41612819129
2004-06-25,1134.4300537109375,-0.005453005365357422,-0.005453005365357422,1,0,0.0,4269.590014078645,24719.879410686073
2004-06-28,1133.3499755859375,-0.0009520887792657806,-0.0009520887792657806,1,0,0.0,4265.524985334175,24696.343890874356
2004-06-29,1136.199951171875,0.0025146474145940623,0.0025146474145940623,1,0,0.0,4276.251276710432,24758.446488189467
2004-06-30,1140.8399658203125,0.004083801133464071,0.004083801133464071,1,0,0.0,4293.714636521239,24859.555060020746
2004-07-01,1128.93994140625,-0.010430932269721027,-0.010430932269721027,1,0,0.0,4248.927189962176,24600.24672493427
2004-07-02,1125.3800048828125,-0.003153344471985897,-0.003153344471985897,1,0,0.0,4235.528858895839,24522.673672914712
2004-07-06,1116.2099609375,-0.008148397790546658,-0.008148397790546658,1,0,0.0,4201.016084900216,24322.85317294004
2004-07-07,1118.3299560546875,0.001899279876885318,0.001899279876885318,1,0,0.0,4208.994990212738,24369.049078519838
2004-07-08,1109.1099853515625,-0.008244410026940319,-0.008244410026940319,1,0,0.0,4174.294309712086,24168.14064594989
2004-07-09,1112.81005859375,0.003336074231641284,0.003336074231641284,1,0,0.0,4188.2200653940035,24248.767357185527
2004-07-12,1114.3499755859375,0.001383809375459455,0.001383809375459455,1,0,0.0,4194.015763586984,24282.323028797735
2004-07-13,1115.1400146484375,0.0007089685285670555,0.0007089685285670555,1,0,0.0,4196.989188771681,24299.538431625653
2004-07-14,1111.469970703125,-0.003291105957191842,-0.003291105957191842,1,0,0.0,4183.176452650245,24219.566075936316
2004-07-15,1106.68994140625,-0.0043006373747112026,-0.0043006373747112026,1,0,0.0,4165.186127652965,24115.406504870854
2004-07-16,1101.3900146484375,-0.004788989724690218,-0.004788989724690218,1,0,0.0,4145.239094086213,23999.9180709123
2004-07-19,1100.9000244140625,-0.00044488349073279476,-0.00044488349073279476,1,0,0.0,4143.394945648114,23989.240903583614
2004-07-20,1108.6700439453125,0.007057879334125161,0.007057879334125161,1,0,0.0,4172.6385272081225,24158.554071198363
2004-07-21,1093.8800048828125,-0.013340343362997498,-0.013340343362997498,1,0,0.0,4116.974096525494,23836.270664735035
2004-07-22,1096.8399658203125,0.002705928369005184,0.002705928369005184,1,0,0.0,4128.114333527741,23900.769905738027
2004-07-23,1086.199951171875,-0.00970060809233908,-0.00970060809233908,1,0,0.0,4088.0691142178216,23668.917903777292
2004-07-26,1084.0699462890625,-0.0019609694149907986,-0.0019609694149907986,1,0,0.0,4080.052535718472,23622.503879682055
2004-07-27,1094.8299560546875,0.009925567812721026,0.009925567812721026,1,0,0.0,4120.549373841211,23856.970643846103
2004-07-28,1095.4200439453125,0.0005389767491852382,0.0005389767491852382,1,0,0.0,4122.770254147581,23869.82899632913
2004-07-29,1100.4300537109375,0.004573596944219327,0.004573596944219327,1,0,0.0,4141.626143583668,23978.99997328578
2004-07-30,1101.719970703125,0.0011721935327353439,0.0011721935327353439,1,0,0.0,4146.480930964184,24007.108001975925
2004-08-02,1106.6199951171875,0.0044476133176885035,0.0044476133176885035,1,0,0.0,4164.922874774282,24113.8823352447
2004-08-03,1099.68994140625,-0.0062623608298381095,-0.0062623608298381095,1,0,0.0,4138.840624903999,23962.87250305314
2004-08-04,1098.6300048828125,-0.0009638503395621445,-0.0009638503395621445,1,0,0.0,4134.851401962292,23939.775880254187
2004-08-05,1080.699951171875,-0.0163203750409584,-0.0163203750409584,1,0,0.0,4067.369076343635,23549.069759491947
